#framerate (fps):	10.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00000	 2	 -0.4000	 1.1000	 0.0000	 0.6477	 0.9802	(((-1346.153846, 18038.461538), (-1000.000000, 17000.000000), (-1000.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-13250.003019, -0.006039), (-4642.857143, 17214.285714), (-1346.153846, 18038.461538)))	(((-1000.000000, 15000.000000), (-1000.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 15000.000000), (-1000.000000, 15000.000000)))
00000	 33	 0.2000	 1.1000	 0.0000	 0.5567	 0.9833	(((-1000.000000, 17000.000000), (14000.000000, 2000.000000), (15000.000000, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1000.000000, -10000.000000), (-1000.000000, 17000.000000)))	(((1000.000000, 15000.000000), (5000.000000, 11000.000000), (5000.000000, 5000.000000), (-1000.000000, 5000.000000), (-1000.000000, 15000.000000), (1000.000000, 15000.000000)))
00000	 17	 0.5000	 1.4000	 0.0000	 1.0553	 0.9178	(((-1000.000000, 18500.000000), (2000.000000, 20000.000000), (8750.000000, 17750.000000), (14000.000000, 2000.000000), (-1000.000000, 17000.000000), (-1346.153846, 18038.461538), (-1000.000000, 18500.000000)))	(((1000.000000, 15000.000000), (5000.000000, 15000.000000), (5000.000000, 11000.000000), (1000.000000, 15000.000000)))
00001	 2	 -0.4000	 1.0100	 0.0000	 0.7142	 1.0002	(((-1100.000000, 17006.557377), (-1100.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-12900.000365, -0.000705), (-4443.738200, 16348.772813), (-1100.000000, 17006.557377)))	(((-1100.000000, 15000.000000), (-1100.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 15000.000000), (-1100.000000, 15000.000000)))
00001	 33	 0.1800	 1.0100	 0.0000	 0.5920	 1.0008	(((-1100.000000, 17006.557377), (-1011.637931, 17065.948276), (14257.932328, -0.042013), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1100.000000, -10000.000000), (-1100.000000, 17006.557377)))	(((836.843078, 15000.000000), (5000.000000, 10347.059129), (5000.000000, 5000.000000), (-1100.000000, 5000.000000), (-1100.000000, 15000.000000), (836.843078, 15000.000000)))
00001	 17	 0.5600	 1.3500	 0.0000	 1.0044	 0.8809	(((-504.054054, 17758.108108), (2117.316360, 19147.210379), (8792.622951, 17422.131148), (14600.000451, -0.001352), (14257.895824, -0.001215), (-1011.637931, 17065.948276), (-504.054054, 17758.108108)))	(((836.841692, 15000.000000), (5000.000000, 15000.000000), (5000.000000, 10347.058362), (836.841692, 15000.000000)))
00002	 23	 -0.9500	 1.2200	 0.0000	 1.0655	 0.7666	(((-4060.396040, 15421.877994), (-12752.725242, 0.003602), (-13950.000000, 0.003707), (-13950.000000, 14415.714286), (-10981.434185, 16875.383104), (-8161.465750, 17053.486374), (-4060.396040, 15421.877994)))	(((-5000.000000, 13754.839137), (-5000.000000, 15000.000000), (-4298.182059, 15000.000000), (-5000.000000, 13754.839137)))
00002	 2	 -0.4000	 0.9100	 0.0000	 0.7865	 1.0002	(((-1150.000000, 15844.354839), (-1150.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-12752.713811, 0.023883), (-4060.396040, 15421.877994), (-1150.000000, 15844.354839)))	(((-5000.000000, 13754.837926), (-4298.181426, 15000.000000), (-1150.000000, 15000.000000), (-1150.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 13754.837926)))
00002	 33	 0.1700	 0.9100	 0.0000	 0.6531	 1.0000	(((-1150.000000, 15844.354839), (-568.329466, 16196.171694), (12542.874422, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1150.000000, -10000.000000), (-1150.000000, 15844.354839)))	(((400.001732, 15000.000000), (5000.000000, 9317.656438), (5000.000000, 5000.000000), (-1150.000000, 5000.000000), (-1150.000000, 15000.000000), (400.001732, 15000.000000)))
00002	 17	 0.5900	 1.2500	 0.0000	 0.9553	 0.7211	(((-89.289678, 16818.923418), (2292.546001, 18081.092753), (8427.001758, 16827.816845), (14881.506772, 0.000202), (12542.855984, 0.000000), (-568.329466, 16196.171694), (-89.289678, 16818.923418)))	(((399.998927, 15000.000000), (5000.000000, 15000.000000), (5000.000000, 9317.646102), (399.998927, 15000.000000)))
