#description: jpscore (0.8.4)
#count: 0
#framerate: 25.00
#geometry: /Users/jonas/Documents/phd/c++/jpscore/build/bin/../../files/evacuation_files/56_geo.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse


#ID	FR	X	Y	Z	A	B	ANGLE	COLOR
1	0	1.70	5.00	0.00	0.15	0.15	-103.59	0
2	0	-0.40	1.10	0.00	0.15	0.15	-85.91	0
3	0	1.40	1.70	0.00	0.15	0.15	-113.07	0
4	0	2.00	6.50	0.00	0.15	0.15	-103.13	0
5	0	1.10	3.80	0.00	0.15	0.15	-100.04	0
6	0	-0.10	6.80	0.00	0.15	0.15	-90.00	0
7	0	2.60	0.50	0.00	0.15	0.15	-147.45	0
8	0	2.30	0.80	0.00	0.15	0.15	-138.72	0
9	0	-1.00	4.70	0.00	0.15	0.15	-82.50	0
10	0	-2.50	5.90	0.00	0.15	0.15	-71.94	0
11	0	-0.70	2.90	0.00	0.15	0.15	-83.42	0
12	0	-0.10	2.60	0.00	0.15	0.15	-90.00	0
13	0	1.40	6.20	0.00	0.15	0.15	-99.07	0
14	0	1.10	8.00	0.00	0.15	0.15	-95.40	0
15	0	-1.90	5.60	0.00	0.15	0.15	-75.96	0
16	0	0.20	5.90	0.00	0.15	0.15	-90.00	0
17	0	1.70	5.60	0.00	0.15	0.15	-102.39	0
18	0	-0.40	4.70	0.00	0.15	0.15	-88.49	0
19	0	1.40	9.20	0.00	0.15	0.15	-96.43	0
20	0	-0.40	8.00	0.00	0.15	0.15	-89.05	0
21	0	-2.50	6.80	0.00	0.15	0.15	-73.91	0
22	0	0.50	7.10	0.00	0.15	0.15	-91.77	0
23	0	-1.60	2.00	0.00	0.15	0.15	-65.77	0
24	0	-0.70	0.20	0.00	0.15	0.15	-69.44	0
25	0	-2.50	9.80	0.00	0.15	0.15	-78.23	0
26	0	-1.90	7.70	0.00	0.15	0.15	-79.26	0
27	0	-1.30	6.20	0.00	0.15	0.15	-81.70	0
28	0	-0.40	0.80	0.00	0.15	0.15	-85.24	0
29	0	-0.70	4.70	0.00	0.15	0.15	-85.49	0
30	0	-1.30	8.30	0.00	0.15	0.15	-83.56	0
31	0	-0.10	8.90	0.00	0.15	0.15	-90.00	0
32	0	-0.10	9.50	0.00	0.15	0.15	-90.00	0
33	0	0.80	3.20	0.00	0.15	0.15	-97.46	0
34	0	-2.50	8.00	0.00	0.15	0.15	-75.96	0
35	0	-1.30	6.80	0.00	0.15	0.15	-82.33	0
36	0	-1.30	9.50	0.00	0.15	0.15	-84.29	0
37	0	-1.00	2.30	0.00	0.15	0.15	-77.20	0
38	0	2.00	8.60	0.00	0.15	0.15	-100.33	0
39	0	0.50	1.40	0.00	0.15	0.15	-95.95	0
40	0	-1.90	4.70	0.00	0.15	0.15	-73.86	0
41	0	0.20	6.80	0.00	0.15	0.15	-90.00	0
42	0	-1.90	1.40	0.00	0.15	0.15	-55.49	0
43	0	-1.30	2.30	0.00	0.15	0.15	-72.35	0
44	0	2.00	9.80	0.00	0.15	0.15	-99.20	0
45	0	-1.00	9.50	0.00	0.15	0.15	-85.91	0
46	0	-1.30	3.80	0.00	0.15	0.15	-77.66	0
47	0	2.30	5.60	0.00	0.15	0.15	-107.26	0
48	0	-1.00	1.40	0.00	0.15	0.15	-72.65	0
49	0	0.50	0.20	0.00	0.15	0.15	-101.77	0
50	0	-0.40	8.90	0.00	0.15	0.15	-89.13	0
1	1	1.69	4.97	0.00	0.15	0.15	-101.61	255
2	1	-0.40	1.13	0.00	0.15	0.15	86.38	254
3	1	1.39	1.67	0.00	0.15	0.15	-112.84	255
4	1	2.00	6.48	0.00	0.15	0.15	-97.66	163
5	1	1.10	3.79	0.00	0.15	0.15	-98.01	97
6	1	-0.13	6.79	0.00	0.15	0.15	-166.65	255
7	1	2.59	0.47	0.00	0.15	0.15	-103.60	255
8	1	2.27	0.80	0.00	0.15	0.15	171.96	255
9	1	-1.03	4.69	0.00	0.15	0.15	-167.56	255
10	1	-2.49	5.87	0.00	0.15	0.15	-77.36	255
11	1	-0.70	2.89	0.00	0.15	0.15	-84.18	91
12	1	-0.10	2.57	0.00	0.15	0.15	-83.88	254
13	1	1.39	6.17	0.00	0.15	0.15	-109.30	255
14	1	1.10	7.97	0.00	0.15	0.15	-95.45	255
15	1	-1.89	5.57	0.00	0.15	0.15	-71.83	255
16	1	0.20	5.87	0.00	0.15	0.15	-89.94	255
17	1	1.70	5.59	0.00	0.15	0.15	-115.12	79
18	1	-0.37	4.69	0.00	0.15	0.15	-12.17	255
19	1	1.40	9.17	0.00	0.15	0.15	-98.11	239
20	1	-0.40	7.97	0.00	0.15	0.15	-88.76	234
21	1	-2.49	6.78	0.00	0.15	0.15	-73.69	154
22	1	0.53	7.10	0.00	0.15	0.15	1.47	255
23	1	-1.60	1.99	0.00	0.15	0.15	-109.62	95
24	1	-0.69	0.18	0.00	0.15	0.15	-53.96	92
25	1	-2.50	9.77	0.00	0.15	0.15	-80.46	255
26	1	-1.89	7.67	0.00	0.15	0.15	-75.04	255
27	1	-1.30	6.17	0.00	0.15	0.15	-82.42	254
28	1	-0.40	0.77	0.00	0.15	0.15	-88.28	255
29	1	-0.70	4.70	0.00	0.15	0.15	-85.49	5
30	1	-1.30	8.27	0.00	0.15	0.15	-83.08	255
31	1	-0.07	8.89	0.00	0.15	0.15	-16.84	255
32	1	-0.10	9.49	0.00	0.15	0.15	-84.27	76
33	1	0.80	3.17	0.00	0.15	0.15	-99.38	254
34	1	-2.50	7.97	0.00	0.15	0.15	-81.48	227
35	1	-1.30	6.79	0.00	0.15	0.15	-79.94	79
36	1	-1.33	9.49	0.00	0.15	0.15	-166.08	255
37	1	-0.97	2.29	0.00	0.15	0.15	-13.67	254
38	1	2.00	8.57	0.00	0.15	0.15	-99.31	255
39	1	0.50	1.37	0.00	0.15	0.15	-95.95	228
40	1	-1.89	4.67	0.00	0.15	0.15	-74.85	254
41	1	0.23	6.78	0.00	0.15	0.15	-32.26	255
42	1	-1.89	1.37	0.00	0.15	0.15	-61.76	255
43	1	-1.33	2.30	0.00	0.15	0.15	176.98	255
44	1	2.00	9.77	0.00	0.15	0.15	-96.74	230
45	1	-0.97	9.49	0.00	0.15	0.15	-13.26	255
46	1	-1.29	3.77	0.00	0.15	0.15	-77.91	255
47	1	2.30	5.57	0.00	0.15	0.15	-91.96	254
48	1	-0.99	1.37	0.00	0.15	0.15	-78.17	239
49	1	0.49	0.19	0.00	0.15	0.15	-129.52	197
50	1	-0.43	8.89	0.00	0.15	0.15	-165.01	255
1	2	1.69	4.93	0.00	0.15	0.15	-102.62	255
2	2	-0.39	1.17	0.00	0.15	0.15	70.60	254
3	2	1.37	1.64	0.00	0.15	0.15	-113.86	255
4	2	1.99	6.46	0.00	0.15	0.15	-98.93	160
5	2	1.10	3.77	0.00	0.15	0.15	-99.31	103
6	2	-0.17	6.78	0.00	0.15	0.15	-156.48	255
7	2	2.58	0.43	0.00	0.15	0.15	-115.31	255
8	2	2.23	0.80	0.00	0.15	0.15	-176.11	255
9	2	-1.07	4.68	0.00	0.15	0.15	-160.13	255
10	2	-2.48	5.83	0.00	0.15	0.15	-76.75	255
11	2	-0.70	2.88	0.00	0.15	0.15	-81.74	88
12	2	-0.09	2.53	0.00	0.15	0.15	-84.13	255
13	2	1.38	6.13	0.00	0.15	0.15	-110.42	255
14	2	1.09	7.93	0.00	0.15	0.15	-95.79	255
15	2	-1.88	5.53	0.00	0.15	0.15	-71.57	255
16	2	0.20	5.83	0.00	0.15	0.15	-90.38	254
17	2	1.69	5.58	0.00	0.15	0.15	-112.50	86
18	2	-0.33	4.68	0.00	0.15	0.15	-18.89	255
19	2	1.39	9.14	0.00	0.15	0.15	-98.42	239
20	2	-0.40	7.94	0.00	0.15	0.15	-88.31	226
21	2	-2.49	6.76	0.00	0.15	0.15	-73.37	158
22	2	0.57	7.09	0.00	0.15	0.15	-14.29	255
23	2	-1.61	1.97	0.00	0.15	0.15	-106.04	97
24	2	-0.67	0.18	0.00	0.15	0.15	-3.56	82
25	2	-2.49	9.73	0.00	0.15	0.15	-78.25	255
26	2	-1.88	7.63	0.00	0.15	0.15	-75.02	255
27	2	-1.29	6.13	0.00	0.15	0.15	-81.58	254
28	2	-0.40	0.73	0.00	0.15	0.15	-85.95	255
29	2	-0.70	4.70	0.00	0.15	0.15	-85.49	14
30	2	-1.29	8.23	0.00	0.15	0.15	-82.71	255
31	2	-0.04	8.87	0.00	0.15	0.15	-32.16	255
32	2	-0.10	9.48	0.00	0.15	0.15	-85.52	78
33	2	0.79	3.13	0.00	0.15	0.15	-99.69	255
34	2	-2.49	7.94	0.00	0.15	0.15	-80.77	224
35	2	-1.30	6.78	0.00	0.15	0.15	-80.14	86
36	2	-1.36	9.47	0.00	0.15	0.15	-151.27	255
37	2	-0.94	2.28	0.00	0.15	0.15	-29.10	255
38	2	1.99	8.53	0.00	0.15	0.15	-99.66	254
39	2	0.49	1.34	0.00	0.15	0.15	-97.25	219
40	2	-1.88	4.63	0.00	0.15	0.15	-74.79	255
41	2	0.25	6.75	0.00	0.15	0.15	-54.66	255
42	2	-1.87	1.34	0.00	0.15	0.15	-60.32	255
43	2	-1.36	2.31	0.00	0.15	0.15	145.75	255
44	2	1.99	9.74	0.00	0.15	0.15	-98.48	231
45	2	-0.94	9.48	0.00	0.15	0.15	-26.20	199
46	2	-1.28	3.73	0.00	0.15	0.15	-77.17	255
47	2	2.30	5.53	0.00	0.15	0.15	-93.16	255
48	2	-0.99	1.34	0.00	0.15	0.15	-79.95	231
49	2	0.47	0.19	0.00	0.15	0.15	-139.46	186
50	2	-0.46	8.88	0.00	0.15	0.15	-150.71	191
1	3	1.68	4.89	0.00	0.15	0.15	-103.74	254
2	3	-0.37	1.17	0.00	0.15	0.15	-7.56	43
3	3	1.36	1.60	0.00	0.15	0.15	-115.33	255
4	3	1.99	6.43	0.00	0.15	0.15	-100.29	157
5	3	1.09	3.76	0.00	0.15	0.15	-100.71	109
6	3	-0.20	6.76	0.00	0.15	0.15	-142.80	249
7	3	2.56	0.40	0.00	0.15	0.15	-122.30	255
8	3	2.19	0.79	0.00	0.15	0.15	-167.77	254
9	3	-1.10	4.66	0.00	0.15	0.15	-150.24	255
10	3	-2.47	5.79	0.00	0.15	0.15	-75.94	255
11	3	-0.69	2.86	0.00	0.15	0.15	-79.46	88
12	3	-0.09	2.49	0.00	0.15	0.15	-84.12	255
13	3	1.36	6.10	0.00	0.15	0.15	-111.97	255
14	3	1.09	7.89	0.00	0.15	0.15	-96.27	255
15	3	-1.87	5.50	0.00	0.15	0.15	-71.12	255
16	3	0.20	5.79	0.00	0.15	0.15	-90.97	255
17	3	1.69	5.57	0.00	0.15	0.15	-110.45	93
18	3	-0.30	4.66	0.00	0.15	0.15	-27.11	255
19	3	1.38	9.10	0.00	0.15	0.15	-98.86	240
20	3	-0.40	7.90	0.00	0.15	0.15	-87.74	220
21	3	-2.48	6.73	0.00	0.15	0.15	-72.87	162
22	3	0.60	7.07	0.00	0.15	0.15	-35.47	239
23	3	-1.61	1.96	0.00	0.15	0.15	-98.93	100
24	3	-0.66	0.18	0.00	0.15	0.15	-4.67	72
25	3	-2.48	9.69	0.00	0.15	0.15	-77.53	255
26	3	-1.87	7.59	0.00	0.15	0.15	-74.85	255
27	3	-1.28	6.09	0.00	0.15	0.15	-80.62	254
28	3	-0.39	0.69	0.00	0.15	0.15	-81.81	254
29	3	-0.70	4.69	0.00	0.15	0.15	-85.49	24
30	3	-1.29	8.19	0.00	0.15	0.15	-82.18	255
31	3	-0.01	8.84	0.00	0.15	0.15	-47.33	255
32	3	-0.10	9.47	0.00	0.15	0.15	-86.18	82
33	3	0.78	3.09	0.00	0.15	0.15	-100.42	254
34	3	-2.48	7.90	0.00	0.15	0.15	-79.91	222
35	3	-1.29	6.76	0.00	0.15	0.15	-79.95	93
36	3	-1.39	9.45	0.00	0.15	0.15	-132.75	254
37	3	-0.91	2.25	0.00	0.15	0.15	-43.18	255
38	3	1.98	8.49	0.00	0.15	0.15	-100.14	254
39	3	0.49	1.31	0.00	0.15	0.15	-99.05	209
40	3	-1.87	4.59	0.00	0.15	0.15	-74.77	255
41	3	0.26	6.72	0.00	0.15	0.15	-70.24	255
42	3	-1.85	1.30	0.00	0.15	0.15	-58.51	255
43	3	-1.37	2.34	0.00	0.15	0.15	99.88	141
44	3	1.99	9.70	0.00	0.15	0.15	-99.24	232
45	3	-0.92	9.46	0.00	0.15	0.15	-41.23	114
46	3	-1.28	3.69	0.00	0.15	0.15	-76.19	255
47	3	2.29	5.49	0.00	0.15	0.15	-94.59	254
48	3	-0.98	1.30	0.00	0.15	0.15	-78.77	223
49	3	0.44	0.19	0.00	0.15	0.15	-164.98	174
50	3	-0.48	8.85	0.00	0.15	0.15	-134.58	189
1	4	1.67	4.85	0.00	0.15	0.15	-104.61	255
2	4	-0.37	1.17	0.00	0.15	0.15	-42.88	52
3	4	1.34	1.56	0.00	0.15	0.15	-116.41	255
4	4	1.98	6.41	0.00	0.15	0.15	-101.38	155
5	4	1.09	3.74	0.00	0.15	0.15	-101.71	114
6	4	-0.22	6.73	0.00	0.15	0.15	-130.15	255
7	4	2.53	0.37	0.00	0.15	0.15	-128.01	255
8	4	2.15	0.78	0.00	0.15	0.15	-162.20	255
9	4	-1.13	4.64	0.00	0.15	0.15	-138.26	255
10	4	-2.46	5.75	0.00	0.15	0.15	-75.30	255
11	4	-0.69	2.85	0.00	0.15	0.15	-78.13	90
12	4	-0.08	2.45	0.00	0.15	0.15	-84.16	255
13	4	1.35	6.06	0.00	0.15	0.15	-113.51	255
14	4	1.08	7.85	0.00	0.15	0.15	-96.62	255
15	4	-1.85	5.46	0.00	0.15	0.15	-70.84	255
16	4	0.20	5.75	0.00	0.15	0.15	-91.40	255
17	4	1.68	5.55	0.00	0.15	0.15	-108.51	99
18	4	-0.26	4.64	0.00	0.15	0.15	-36.25	255
19	4	1.38	9.06	0.00	0.15	0.15	-99.18	240
20	4	-0.40	7.87	0.00	0.15	0.15	-87.31	218
21	4	-2.47	6.71	0.00	0.15	0.15	-72.51	166
22	4	0.63	7.04	0.00	0.15	0.15	-51.24	235
23	4	-1.61	1.92	0.00	0.15	0.15	-90.40	255
24	4	-0.65	0.18	0.00	0.15	0.15	-8.09	64
25	4	-2.47	9.65	0.00	0.15	0.15	-77.21	255
26	4	-1.86	7.55	0.00	0.15	0.15	-74.81	255
27	4	-1.28	6.05	0.00	0.15	0.15	-79.85	254
28	4	-0.38	0.65	0.00	0.15	0.15	-75.12	255
29	4	-0.70	4.69	0.00	0.15	0.15	-81.10	33
30	4	-1.28	8.15	0.00	0.15	0.15	-81.80	255
31	4	0.01	8.81	0.00	0.15	0.15	-58.70	255
32	4	-0.10	9.45	0.00	0.15	0.15	-86.69	88
33	4	0.77	3.05	0.00	0.15	0.15	-100.96	255
34	4	-2.48	7.87	0.00	0.15	0.15	-79.21	219
35	4	-1.29	6.75	0.00	0.15	0.15	-79.82	99
36	4	-1.41	9.41	0.00	0.15	0.15	-119.92	255
37	4	-0.88	2.22	0.00	0.15	0.15	-51.63	255
38	4	1.97	8.45	0.00	0.15	0.15	-100.51	255
39	4	0.48	1.27	0.00	0.15	0.15	-100.46	200
40	4	-1.86	4.56	0.00	0.15	0.15	-75.26	254
41	4	0.27	6.68	0.00	0.15	0.15	-79.12	255
42	4	-1.82	1.27	0.00	0.15	0.15	-57.57	255
43	4	-1.36	2.34	0.00	0.15	0.15	-10.34	46
44	4	1.98	9.67	0.00	0.15	0.15	-99.63	232
45	4	-0.91	9.45	0.00	0.15	0.15	-50.88	113
46	4	-1.27	3.65	0.00	0.15	0.15	-75.47	255
47	4	2.29	5.45	0.00	0.15	0.15	-95.84	255
48	4	-0.97	1.27	0.00	0.15	0.15	-78.10	215
49	4	0.42	0.20	0.00	0.15	0.15	176.72	161
50	4	-0.51	8.82	0.00	0.15	0.15	-120.80	255
1	5	1.66	4.82	0.00	0.15	0.15	-105.15	239
2	5	-0.36	1.16	0.00	0.15	0.15	-54.43	60
3	5	1.32	1.53	0.00	0.15	0.15	-116.90	254
4	5	1.98	6.38	0.00	0.15	0.15	-102.13	153
5	5	1.09	3.72	0.00	0.15	0.15	-102.24	120
6	5	-0.25	6.69	0.00	0.15	0.15	-121.03	255
7	5	2.51	0.34	0.00	0.15	0.15	-132.40	255
8	5	2.12	0.77	0.00	0.15	0.15	-158.35	255
9	5	-1.16	4.60	0.00	0.15	0.15	-125.79	255
10	5	-2.45	5.72	0.00	0.15	0.15	-74.92	254
11	5	-0.69	2.83	0.00	0.15	0.15	-77.69	93
12	5	-0.08	2.41	0.00	0.15	0.15	-84.31	255
13	5	1.33	6.02	0.00	0.15	0.15	-114.85	255
14	5	1.08	7.81	0.00	0.15	0.15	-96.78	255
15	5	-1.84	5.42	0.00	0.15	0.15	-70.80	255
16	5	0.20	5.71	0.00	0.15	0.15	-91.60	255
17	5	1.68	5.54	0.00	0.15	0.15	-106.60	105
18	5	-0.24	4.61	0.00	0.15	0.15	-45.30	255
19	5	1.37	9.02	0.00	0.15	0.15	-99.32	241
20	5	-0.39	7.83	0.00	0.15	0.15	-87.09	216
21	5	-2.46	6.69	0.00	0.15	0.15	-72.36	169
22	5	0.64	7.01	0.00	0.15	0.15	-60.00	231
23	5	-1.61	1.88	0.00	0.15	0.15	-83.48	255
24	5	-0.64	0.18	0.00	0.15	0.15	-11.32	56
25	5	-2.46	9.61	0.00	0.15	0.15	-77.10	255
