#framerate (fps):	25.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00000	 28	 -0.4000	 0.8000	 0.0000	 1.8779	 0.9618	(((-10500.000000, 7500.000000), (-8500.000000, 9500.000000), (1500.000000, 9500.000000), (2500.000000, 8000.000000), (-1000.000000, 2750.000000), (-10500.000000, 7500.000000)))	(((-5000.000000, 9500.000000), (1500.000000, 9500.000000), (2500.000000, 8000.000000), (500.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 9500.000000)))
00000	 2	 -0.4000	 1.1000	 0.0000	 1.7761	 0.3606	(((-4000.000000, 18500.000000), (-3571.428571, 18714.285714), (-1428.571429, 18285.714286), (1500.000000, 9500.000000), (-8500.000000, 9500.000000), (-4000.000000, 18500.000000)))	(((-5000.000000, 9500.000000), (-5000.000000, 15000.000000), (-333.333252, 14999.999755), (1500.000000, 9500.000000), (-5000.000000, 9500.000000)))
00000	 49	 0.5000	 0.2000	 0.0000	 0.6701	 0.5500	(((-1000.000000, -10000.000000), (-1000.000000, 2750.000000), (2500.000000, 8000.000000), (12000.000000, 8000.000000), (13250.000000, 7250.000000), (15666.666667, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1000.000000, -10000.000000)))	(((5000.000000, 8000.000000), (5000.000000, 5000.000000), (500.000000, 5000.000000), (2500.000000, 8000.000000), (5000.000000, 8000.000000)))
00000	 39	 0.5000	 1.4000	 0.0000	 0.8070	 0.8062	(((-1428.571429, 18285.714286), (7142.857143, 22571.428571), (12000.000000, 8000.000000), (2500.000000, 8000.000000), (1500.000000, 9500.000000), (-1428.571429, 18285.714286)))	(((-333.333491, 15000.000472), (5000.000000, 15000.000000), (5000.000000, 8000.000000), (2500.000000, 8000.000000), (1500.000000, 9500.000000), (-333.333491, 15000.000472)))
00001	 28	 -0.4000	 0.7700	 0.0000	 1.8240	 0.9962	(((-10484.380387, 7224.525953), (-8170.338983, 9500.000000), (1300.000000, 9500.000000), (2419.034091, 7821.448864), (-1006.065195, 2565.693062), (-10484.380387, 7224.525953)))	(((-4999.999983, 9500.000000), (1300.000000, 9500.000000), (2419.034091, 7821.448864), (580.336910, 4999.999741), (-5000.000000, 5000.000000), (-4999.999983, 9500.000000)))
00001	 2	 -0.4000	 1.1300	 0.0000	 1.7293	 0.2236	(((-4636.340394, 18187.746530), (-3554.004107, 18719.584189), (-1017.647059, 18191.176471), (1300.000000, 9500.000000), (-8170.338983, 9500.000000), (-4636.340394, 18187.746530)))	(((-5000.000108, 9500.000000), (-5000.000000, 15000.000000), (-166.666585, 14999.999694), (1300.000000, 9500.000000), (-5000.000108, 9500.000000)))
00001	 49	 0.4900	 0.1900	 0.0000	 0.6927	 0.6021	(((-899.622234, -10000.000000), (-1006.065195, 2565.693062), (2419.034091, 7821.448864), (11964.419404, 7740.555768), (13075.160641, 7065.105016), (15496.340030, 0.024174), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-899.622234, -10000.000000)))	(((4999.999176, 7799.576278), (5000.000000, 5000.000000), (580.336932, 4999.999775), (2419.034091, 7821.448864), (4999.999176, 7799.576278)))
00001	 39	 0.5000	 1.3700	 0.0000	 0.8275	 0.8139	(((-1017.647059, 18191.176471), (7077.403846, 22238.701923), (11964.419404, 7740.555768), (2419.034091, 7821.448864), (1300.000000, 9500.000000), (-1017.647059, 18191.176471)))	(((-166.666769, 15000.000385), (5000.000000, 15000.000000), (4999.999833, 7799.576273), (2419.034091, 7821.448864), (1300.000000, 9500.000000), (-166.666769, 15000.000385)))
00002	 28	 -0.4000	 0.7300	 0.0000	 1.8181	 0.9192	(((-10389.043336, 7023.712183), (-7739.762890, 9586.130975), (1111.426719, 9384.967575), (2270.409374, 7693.992880), (-1004.973570, 2416.987025), (-10389.043336, 7023.712183)))	(((-5000.000173, 9523.863640), (1111.426719, 9384.967575), (2270.409374, 7693.992880), (598.275357, 4999.999187), (-5000.000000, 5000.000000), (-5000.000173, 9523.863640)))
00002	 2	 -0.3900	 1.1700	 0.0000	 1.6655	 0.2500	(((-5391.676856, 17873.493450), (-3595.189639, 18763.644773), (-571.513353, 18096.657357), (1111.426719, 9384.967575), (-7739.762890, 9586.130975), (-5391.676856, 17873.493450)))	(((-4999.999545, 9523.863626), (-5000.000000, 15000.000000), (26.704522, 15000.000119), (1111.426719, 9384.967575), (-4999.999545, 9523.863626)))
