

#ID	FR	X	Y	Z	A	B	ANGLE	COLOR
1	0	1.28	2.06	0.00	0.17	0.17	-108.60	0
1	1	1.25	2.03	0.00	0.17	0.17	-108.60	255
1	2	1.20	1.96	0.00	0.17	0.17	-127.85	255
1	3	1.15	1.90	0.00	0.17	0.17	-127.58	255
1	4	1.12	1.82	0.00	0.17	0.17	-98.18	255
1	5	1.08	1.75	0.00	0.17	0.17	-125.64	255
1	6	1.06	1.67	0.00	0.17	0.17	-101.84	255
1	7	1.00	1.61	0.00	0.17	0.17	-120.57	254
1	8	0.97	1.53	0.00	0.17	0.17	-113.24	255
1	9	0.92	1.46	0.00	0.17	0.17	-137.01	255
1	10	0.87	1.40	0.00	0.17	0.17	-124.36	255
1	11	0.83	1.33	0.00	0.17	0.17	-124.41	255
1	12	0.78	1.27	0.00	0.17	0.17	-101.96	255
1	13	0.75	1.20	0.00	0.17	0.17	-93.91	254
1	14	0.69	1.15	0.00	0.17	0.17	-163.86	255
1	15	0.64	1.09	0.00	0.17	0.17	-107.31	254
1	16	0.58	1.03	0.00	0.17	0.17	-135.73	255
1	17	0.55	0.97	0.00	0.17	0.17	-152.06	255
1	18	0.50	0.90	0.00	0.17	0.17	-131.07	254
1	19	0.47	0.82	0.00	0.17	0.17	-114.91	254
1	20	0.42	0.76	0.00	0.17	0.17	-111.62	254
1	21	0.35	0.72	0.00	0.17	0.17	-153.78	255
1	22	0.33	0.65	0.00	0.17	0.17	-71.99	255
1	23	0.26	0.60	0.00	0.17	0.17	-143.64	254
1	24	0.24	0.52	0.00	0.17	0.17	-87.03	255
1	25	0.18	0.47	0.00	0.17	0.17	-156.53	255
1	26	0.13	0.41	0.00	0.17	0.17	-133.95	255
1	27	0.08	0.34	0.00	0.17	0.17	-123.71	255
1	28	0.10	0.27	0.00	0.17	0.17	-104.83	254
1	29	0.06	0.20	0.00	0.17	0.17	-134.41	255
1	30	0.02	0.16	0.00	0.17	0.17	172.87	255
1	31	-0.02	0.09	0.00	0.17	0.17	-140.54	254
1	32	0.04	0.04	0.00	0.17	0.17	-25.25	255
1	33	0.05	-0.04	0.00	0.17	0.17	-95.70	255
1	34	0.00	-0.11	0.00	0.17	0.17	-148.85	255
1	35	0.05	-0.09	0.00	0.17	0.17	62.07	255
1	36	0.05	-0.11	0.00	0.17	0.17	174.98	254
1	37	0.04	-0.15	0.00	0.17	0.17	-51.76	254
1	38	0.04	-0.23	0.00	0.17	0.17	-81.76	255
1	39	0.03	-0.31	0.00	0.17	0.17	-91.11	254
1	40	0.03	-0.32	0.00	0.17	0.17	34.84	255
1	41	0.03	-0.39	0.00	0.17	0.17	-67.32	255
1	42	0.00	-0.47	0.00	0.17	0.17	-130.95	254
1	43	0.05	-0.54	0.00	0.17	0.17	-49.59	254
1	44	0.02	-0.60	0.00	0.17	0.17	-152.33	255
1	45	0.01	-0.63	0.00	0.17	0.17	-29.78	255
1	46	0.03	-0.69	0.00	0.17	0.17	-115.57	254
1	47	0.02	-0.76	0.00	0.17	0.17	-63.55	254
1	48	-0.00	-0.84	0.00	0.17	0.17	-97.07	255
1	49	-0.01	-0.91	0.00	0.17	0.17	-128.18	254
1	50	0.04	-0.93	0.00	0.17	0.17	21.64	255
1	51	0.03	-0.98	0.00	0.17	0.17	-52.57	255
