#description: jpscore (0.8.4)
#count: 0
#framerate: 16.00
#geometry: /Users/jonas/Documents/phd/c++/jps_ben_vel/jpscore/build/bin/../../files/evacuation_files/trajectories/ini_lm_2/ini_5_6_lm_2/geo_5_6.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse


#ID	FR	X	Y	Z	A	B	ANGLE	COLOR
1	0	-0.42	2.40	0.00	0.17	0.17	-87.14	0
2	0	-2.12	2.06	0.00	0.17	0.17	-58.57	0
1	1	-0.42	2.36	0.00	0.17	0.17	-87.14	255
2	1	-2.09	2.03	0.00	0.17	0.17	-58.57	254
1	2	-0.42	2.27	0.00	0.17	0.17	-90.00	255
2	2	-2.03	1.97	0.00	0.17	0.17	-44.18	255
1	3	-0.42	2.19	0.00	0.17	0.17	-90.00	255
2	3	-1.97	1.91	0.00	0.17	0.17	-44.18	255
1	4	-0.42	2.11	0.00	0.17	0.17	-90.00	255
2	4	-1.91	1.86	0.00	0.17	0.17	-44.18	255
1	5	-0.42	2.02	0.00	0.17	0.17	-90.00	255
2	5	-1.85	1.80	0.00	0.17	0.17	-44.18	255
1	6	-0.42	1.94	0.00	0.17	0.17	-90.00	255
2	6	-1.79	1.74	0.00	0.17	0.17	-44.18	255
1	7	-0.42	1.86	0.00	0.17	0.17	-90.00	255
2	7	-1.73	1.68	0.00	0.17	0.17	-44.18	255
1	8	-0.42	1.77	0.00	0.17	0.17	-90.00	255
2	8	-1.67	1.62	0.00	0.17	0.17	-44.18	255
1	9	-0.42	1.69	0.00	0.17	0.17	-90.00	255
2	9	-1.61	1.56	0.00	0.17	0.17	-44.18	255
1	10	-0.42	1.60	0.00	0.17	0.17	-90.00	255
2	10	-1.55	1.51	0.00	0.17	0.17	-44.18	255
1	11	-0.42	1.52	0.00	0.17	0.17	-90.00	255
2	11	-1.49	1.45	0.00	0.17	0.17	-44.18	254
1	12	-0.42	1.44	0.00	0.17	0.17	-90.00	255
2	12	-1.43	1.39	0.00	0.17	0.17	-44.18	255
1	13	-0.42	1.35	0.00	0.17	0.17	-90.00	255
2	13	-1.37	1.33	0.00	0.17	0.17	-44.18	255
1	14	-0.42	1.27	0.00	0.17	0.17	-90.00	255
2	14	-1.31	1.27	0.00	0.17	0.17	-44.18	254
1	15	-0.42	1.19	0.00	0.17	0.17	-90.00	255
2	15	-1.25	1.21	0.00	0.17	0.17	-44.18	255
1	16	-0.42	1.10	0.00	0.17	0.17	-90.00	255
2	16	-1.19	1.16	0.00	0.17	0.17	-44.18	255
1	17	-0.42	1.02	0.00	0.17	0.17	-90.00	255
2	17	-1.13	1.10	0.00	0.17	0.17	-44.18	254
1	18	-0.40	0.94	0.00	0.17	0.17	-90.00	254
2	18	-1.07	1.04	0.00	0.17	0.17	-44.18	255
1	19	-0.35	0.87	0.00	0.17	0.17	-56.97	255
2	19	-1.01	0.98	0.00	0.17	0.17	-44.18	255
1	20	-0.31	0.80	0.00	0.17	0.17	-58.42	255
2	20	-0.99	0.97	0.00	0.17	0.17	-37.46	65
1	21	-0.27	0.73	0.00	0.17	0.17	-60.24	254
2	21	-0.97	0.95	0.00	0.17	0.17	-35.13	72
1	22	-0.23	0.65	0.00	0.17	0.17	-62.60	255
2	22	-0.95	0.94	0.00	0.17	0.17	-35.13	80
1	23	-0.18	0.58	0.00	0.17	0.17	-57.17	255
2	23	-0.93	0.92	0.00	0.17	0.17	-36.88	87
1	24	-0.14	0.51	0.00	0.17	0.17	-60.26	255
2	24	-0.90	0.90	0.00	0.17	0.17	-36.88	95
1	25	-0.11	0.43	0.00	0.17	0.17	-64.83	255
2	25	-0.88	0.88	0.00	0.17	0.17	-34.31	102
1	26	-0.06	0.36	0.00	0.17	0.17	-61.12	255
2	26	-0.85	0.86	0.00	0.17	0.17	-36.19	109
1	27	-0.03	0.28	0.00	0.17	0.17	-69.16	255
2	27	-0.82	0.84	0.00	0.17	0.17	-36.19	115
1	28	-0.01	0.20	0.00	0.17	0.17	-65.09	255
2	28	-0.79	0.82	0.00	0.17	0.17	-35.36	122
1	29	-0.01	0.12	0.00	0.17	0.17	-90.00	255
2	29	-0.75	0.80	0.00	0.17	0.17	-35.36	124
1	30	-0.01	0.04	0.00	0.17	0.17	-90.00	255
2	30	-0.72	0.77	0.00	0.17	0.17	-37.58	127
1	31	-0.01	-0.05	0.00	0.17	0.17	-90.00	255
2	31	-0.69	0.75	0.00	0.17	0.17	-34.35	131
1	32	-0.01	-0.13	0.00	0.17	0.17	-90.00	255
2	32	-0.65	0.72	0.00	0.17	0.17	-36.79	135
1	33	-0.01	-0.21	0.00	0.17	0.17	-90.00	255
2	33	-0.58	0.67	0.00	0.17	0.17	-33.06	255
1	34	-0.01	-0.30	0.00	0.17	0.17	-90.00	255
2	34	-0.51	0.62	0.00	0.17	0.17	-35.79	255
1	35	-0.01	-0.38	0.00	0.17	0.17	-90.00	255
2	35	-0.45	0.57	0.00	0.17	0.17	-38.03	255
1	36	-0.01	-0.47	0.00	0.17	0.17	-90.00	255
2	36	-0.38	0.52	0.00	0.17	0.17	-36.96	255
1	37	-0.01	-0.55	0.00	0.17	0.17	-90.00	255
2	37	-0.31	0.47	0.00	0.17	0.17	-35.62	255
1	38	-0.01	-0.63	0.00	0.17	0.17	-90.00	255
2	38	-0.25	0.42	0.00	0.17	0.17	-41.82	254
1	39	-0.01	-0.72	0.00	0.17	0.17	-90.00	255
2	39	-0.18	0.37	0.00	0.17	0.17	-42.14	255
1	40	-0.01	-0.80	0.00	0.17	0.17	-90.00	255
2	40	-0.11	0.32	0.00	0.17	0.17	-44.03	255
1	41	-0.01	-0.88	0.00	0.17	0.17	-90.00	255
2	41	-0.06	0.26	0.00	0.17	0.17	-48.37	255
1	42	0.01	-0.96	0.00	0.17	0.17	-90.00	255
2	42	-0.01	0.19	0.00	0.17	0.17	-59.05	255
2	43	-0.01	0.12	0.00	0.17	0.17	-90.00	255
2	44	-0.01	0.03	0.00	0.17	0.17	-90.00	255
2	45	-0.01	-0.05	0.00	0.17	0.17	-90.00	255
2	46	-0.01	-0.13	0.00	0.17	0.17	-90.00	255
2	47	-0.01	-0.22	0.00	0.17	0.17	-90.00	255
2	48	-0.01	-0.30	0.00	0.17	0.17	-90.00	255
2	49	-0.01	-0.38	0.00	0.17	0.17	-90.00	255
2	50	-0.01	-0.47	0.00	0.17	0.17	-90.00	255
2	51	-0.01	-0.55	0.00	0.17	0.17	-90.00	255
2	52	-0.01	-0.64	0.00	0.17	0.17	-90.00	255
2	53	-0.01	-0.72	0.00	0.17	0.17	-90.00	255
2	54	-0.01	-0.80	0.00	0.17	0.17	-90.00	255
2	55	-0.01	-0.89	0.00	0.17	0.17	-90.00	255
2	56	0.00	-0.97	0.00	0.17	0.17	-90.00	255
