#description: jpscore (0.8.4)
#count: 0
#framerate: 16.00
#geometry: /Users/jonas/Documents/phd/c++/jps_ben_vel/jpscore/build/bin/../../files/evacuation_files/trajectories/ini_lm_50/ini_3_4_lm_50/geo_3_4.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse


#ID	FR	X	Y	Z	A	B	ANGLE	COLOR
1	0	0.68	0.70	0.00	0.17	0.17	-104.19	0
2	0	1.36	3.42	0.00	0.17	0.17	-104.10	0
3	0	1.02	6.82	0.00	0.17	0.17	-95.62	0
4	0	1.36	1.72	0.00	0.17	0.17	-112.20	0
5	0	-1.02	0.70	0.00	0.17	0.17	-65.63	0
6	0	-1.02	7.84	0.00	0.17	0.17	-85.02	0
7	0	-1.02	5.46	0.00	0.17	0.17	-83.20	0
8	0	-1.02	5.12	0.00	0.17	0.17	-82.83	0
9	0	-0.68	3.76	0.00	0.17	0.17	-84.84	0
10	0	0.68	8.18	0.00	0.17	0.17	-92.68	0
11	0	1.02	4.44	0.00	0.17	0.17	-98.06	0
12	0	-0.68	2.40	0.00	0.17	0.17	-82.79	0
13	0	1.02	2.74	0.00	0.17	0.17	-101.63	0
14	0	-0.68	5.80	0.00	0.17	0.17	-86.38	0
15	0	1.02	5.80	0.00	0.17	0.17	-96.46	0
16	0	0.00	1.72	0.00	0.17	0.17	-90.00	0
17	0	0.00	4.78	0.00	0.17	0.17	-90.00	0
18	0	-0.34	4.10	0.00	0.17	0.17	-88.99	0
19	0	0.00	1.38	0.00	0.17	0.17	-90.00	0
20	0	-0.34	2.74	0.00	0.17	0.17	-88.62	0
21	0	-1.02	2.40	0.00	0.17	0.17	-77.24	0
22	0	0.68	3.08	0.00	0.17	0.17	-96.02	0
23	0	0.68	2.06	0.00	0.17	0.17	-98.00	0
24	0	-1.02	1.38	0.00	0.17	0.17	-72.07	0
25	0	0.34	5.80	0.00	0.17	0.17	-90.76	0
26	0	-1.02	1.72	0.00	0.17	0.17	-74.19	0
27	0	0.00	7.50	0.00	0.17	0.17	-90.00	0
28	0	-1.36	4.10	0.00	0.17	0.17	-77.72	0
29	0	0.00	3.08	0.00	0.17	0.17	-90.00	0
30	0	-0.68	4.78	0.00	0.17	0.17	-85.75	0
31	0	-1.02	7.16	0.00	0.17	0.17	-84.61	0
32	0	-0.34	5.80	0.00	0.17	0.17	-89.24	0
33	0	0.68	5.12	0.00	0.17	0.17	-94.02	0
34	0	0.00	7.84	0.00	0.17	0.17	-90.00	0
35	0	-0.34	4.44	0.00	0.17	0.17	-89.05	0
36	0	1.02	7.84	0.00	0.17	0.17	-94.98	0
37	0	0.00	6.82	0.00	0.17	0.17	-90.00	0
38	0	-0.68	1.38	0.00	0.17	0.17	-79.76	0
39	0	0.68	4.78	0.00	0.17	0.17	-94.25	0
40	0	-1.02	3.08	0.00	0.17	0.17	-79.31	0
41	0	0.68	6.48	0.00	0.17	0.17	-93.29	0
42	0	0.00	0.36	0.00	0.17	0.17	-90.00	0
43	0	0.68	1.72	0.00	0.17	0.17	-98.98	0
44	0	-1.36	6.48	0.00	0.17	0.17	-81.56	0
45	0	0.00	1.04	0.00	0.17	0.17	-90.00	0
46	0	1.02	7.50	0.00	0.17	0.17	-95.18	0
47	0	0.00	3.42	0.00	0.17	0.17	-90.00	0
48	0	1.36	2.06	0.00	0.17	0.17	-109.94	0
49	0	-0.68	6.48	0.00	0.17	0.17	-86.71	0
50	0	1.36	4.78	0.00	0.17	0.17	-100.87	0
1	1	0.66	0.66	0.00	0.17	0.17	-104.19	255
2	1	1.36	3.41	0.00	0.17	0.17	-104.10	79
3	1	1.02	6.82	0.00	0.17	0.17	-95.62	26
4	1	1.36	1.68	0.00	0.17	0.17	-112.20	254
5	1	-1.00	0.67	0.00	0.17	0.17	-65.63	255
6	1	-1.00	7.81	0.00	0.17	0.17	-85.02	209
7	1	-1.02	5.46	0.00	0.17	0.17	-83.20	0
8	1	-1.02	5.12	0.00	0.17	0.17	-82.83	26
9	1	-0.67	3.74	0.00	0.17	0.17	-84.84	139
10	1	0.68	8.14	0.00	0.17	0.17	-92.68	255
11	1	1.01	4.41	0.00	0.17	0.17	-98.06	202
12	1	-0.67	2.38	0.00	0.17	0.17	-82.79	129
13	1	1.02	2.73	0.00	0.17	0.17	-101.63	79
14	1	-0.68	5.80	0.00	0.17	0.17	-86.38	0
15	1	1.02	5.79	0.00	0.17	0.17	-96.46	79
16	1	0.00	1.72	0.00	0.17	0.17	-90.00	0
17	1	0.00	4.75	0.00	0.17	0.17	-90.00	194
18	1	-0.34	4.09	0.00	0.17	0.17	-88.99	79
19	1	0.00	1.38	0.00	0.17	0.17	-90.00	0
20	1	-0.34	2.72	0.00	0.17	0.17	-88.62	139
21	1	-1.02	2.39	0.00	0.17	0.17	-77.24	64
22	1	0.68	3.06	0.00	0.17	0.17	-96.02	129
23	1	0.68	2.06	0.00	0.17	0.17	-98.00	0
24	1	-1.02	1.38	0.00	0.17	0.17	-72.07	0
25	1	0.34	5.79	0.00	0.17	0.17	-90.76	79
26	1	-1.02	1.72	0.00	0.17	0.17	-74.19	0
27	1	-0.00	7.49	0.00	0.17	0.17	-90.00	64
28	1	-1.36	4.08	0.00	0.17	0.17	-77.72	139
29	1	0.01	3.04	0.00	0.17	0.17	-90.00	224
30	1	-0.68	4.78	0.00	0.17	0.17	-85.75	26
31	1	-1.01	7.15	0.00	0.17	0.17	-84.61	79
32	1	-0.34	5.78	0.00	0.17	0.17	-89.24	139
33	1	0.68	5.12	0.00	0.17	0.17	-94.02	0
34	1	0.00	7.84	0.00	0.17	0.17	-90.00	0
35	1	-0.34	4.44	0.00	0.17	0.17	-89.05	0
36	1	1.02	7.84	0.00	0.17	0.17	-94.98	0
37	1	-0.00	6.80	0.00	0.17	0.17	-90.00	139
38	1	-0.68	1.34	0.00	0.17	0.17	-79.76	255
39	1	0.68	4.74	0.00	0.17	0.17	-94.25	255
40	1	-1.02	3.07	0.00	0.17	0.17	-79.31	64
41	1	0.68	6.47	0.00	0.17	0.17	-93.29	79
42	1	-0.02	0.32	0.00	0.17	0.17	-90.00	255
43	1	0.67	1.70	0.00	0.17	0.17	-98.98	118
44	1	-1.36	6.46	0.00	0.17	0.17	-81.56	139
45	1	0.01	1.03	0.00	0.17	0.17	-90.00	79
46	1	1.05	7.47	0.00	0.17	0.17	-95.18	254
47	1	0.00	3.42	0.00	0.17	0.17	-90.00	0
48	1	1.36	2.06	0.00	0.17	0.17	-109.94	0
49	1	-0.68	6.47	0.00	0.17	0.17	-86.71	64
50	1	1.36	4.78	0.00	0.17	0.17	-100.87	26
1	2	0.63	0.61	0.00	0.17	0.17	-126.92	255
2	2	1.35	3.38	0.00	0.17	0.17	-96.54	79
3	2	1.01	6.81	0.00	0.17	0.17	-114.42	29
4	2	1.34	1.61	0.00	0.17	0.17	-120.51	255
5	2	-0.99	0.60	0.00	0.17	0.17	-119.71	254
6	2	-0.98	7.77	0.00	0.17	0.17	-96.73	207
7	2	-1.02	5.46	0.00	0.17	0.17	-83.20	1
8	2	-1.02	5.11	0.00	0.17	0.17	-84.22	26
9	2	-0.67	3.69	0.00	0.17	0.17	-80.59	139
10	2	0.66	8.09	0.00	0.17	0.17	-121.06	218
11	2	1.00	4.35	0.00	0.17	0.17	-88.00	199
12	2	-0.66	2.33	0.00	0.17	0.17	-66.34	131
13	2	1.02	2.70	0.00	0.17	0.17	-106.40	75
14	2	-0.68	5.78	0.00	0.17	0.17	-86.38	0
15	2	1.02	5.75	0.00	0.17	0.17	-92.98	136
16	2	0.00	1.72	0.00	0.17	0.17	-90.00	0
17	2	0.01	4.69	0.00	0.17	0.17	-76.02	182
18	2	-0.34	4.06	0.00	0.17	0.17	-71.97	75
19	2	0.00	1.38	0.00	0.17	0.17	-90.00	3
20	2	-0.34	2.67	0.00	0.17	0.17	-85.56	131
21	2	-1.02	2.38	0.00	0.17	0.17	-70.20	62
22	2	0.67	3.03	0.00	0.17	0.17	-100.95	25
23	2	0.68	2.06	0.00	0.17	0.17	-98.00	6
24	2	-1.02	1.38	0.00	0.17	0.17	-72.07	1
25	2	0.34	5.75	0.00	0.17	0.17	-98.17	74
26	2	-1.02	1.72	0.00	0.17	0.17	-74.19	0
27	2	-0.01	7.47	0.00	0.17	0.17	-103.37	66
28	2	-1.34	4.03	0.00	0.17	0.17	-65.09	135
29	2	0.02	3.01	0.00	0.17	0.17	-92.28	186
30	2	-0.68	4.77	0.00	0.17	0.17	-87.64	25
31	2	-1.01	7.12	0.00	0.17	0.17	-87.57	84
32	2	-0.34	5.73	0.00	0.17	0.17	-96.10	143
33	2	0.68	5.12	0.00	0.17	0.17	-94.02	15
34	2	-0.00	7.84	0.00	0.17	0.17	-90.00	3
35	2	-0.34	4.44	0.00	0.17	0.17	-89.05	4
36	2	1.02	7.84	0.00	0.17	0.17	-94.98	8
37	2	0.02	6.78	0.00	0.17	0.17	-42.58	77
38	2	-0.67	1.32	0.00	0.17	0.17	-90.97	64
39	2	0.67	4.66	0.00	0.17	0.17	-92.94	210
40	2	-1.01	3.05	0.00	0.17	0.17	-79.89	62
41	2	0.68	6.44	0.00	0.17	0.17	-94.05	81
42	2	-0.04	0.25	0.00	0.17	0.17	-141.02	255
43	2	0.65	1.65	0.00	0.17	0.17	-120.42	232
44	2	-1.35	6.41	0.00	0.17	0.17	-80.73	131
45	2	0.00	1.01	0.00	0.17	0.17	-105.91	73
46	2	1.07	7.42	0.00	0.17	0.17	-82.32	255
47	2	-0.00	3.42	0.00	0.17	0.17	-90.00	7
48	2	1.36	2.06	0.00	0.17	0.17	-109.94	12
49	2	-0.68	6.45	0.00	0.17	0.17	-87.15	64
50	2	1.36	4.77	0.00	0.17	0.17	-100.27	33
1	3	0.63	0.58	0.00	0.17	0.17	-88.20	79
2	3	1.35	3.36	0.00	0.17	0.17	-106.46	79
3	3	1.00	6.80	0.00	0.17	0.17	-125.50	31
4	3	1.34	1.53	0.00	0.17	0.17	-77.86	255
5	3	-0.97	0.57	0.00	0.17	0.17	26.51	255
6	3	-0.98	7.76	0.00	0.17	0.17	-84.44	59
7	3	-1.02	5.46	0.00	0.17	0.17	-83.20	3
8	3	-1.02	5.10	0.00	0.17	0.17	-84.90	26
9	3	-0.66	3.65	0.00	0.17	0.17	-82.08	135
10	3	0.64	8.07	0.00	0.17	0.17	-117.09	66
11	3	1.00	4.29	0.00	0.17	0.17	-94.73	188
12	3	-0.66	2.29	0.00	0.17	0.17	-87.90	131
13	3	1.01	2.68	0.00	0.17	0.17	-95.59	71
14	3	-0.68	5.74	0.00	0.17	0.17	-87.76	124
15	3	1.02	5.73	0.00	0.17	0.17	-91.75	71
16	3	-0.00	1.72	0.00	0.17	0.17	-90.00	0
17	3	0.02	4.63	0.00	0.17	0.17	-81.44	172
18	3	-0.33	4.05	0.00	0.17	0.17	-82.04	31
19	3	0.00	1.38	0.00	0.17	0.17	-90.00	7
20	3	-0.34	2.66	0.00	0.17	0.17	-93.70	27
21	3	-1.02	2.38	0.00	0.17	0.17	-70.20	5
22	3	0.67	3.03	0.00	0.17	0.17	-88.91	27
23	3	0.68	2.05	0.00	0.17	0.17	-98.00	15
24	3	-1.04	1.33	0.00	0.17	0.17	-126.13	76
25	3	0.33	5.70	0.00	0.17	0.17	-97.42	147
26	3	-1.02	1.72	0.00	0.17	0.17	-74.19	6
27	3	-0.03	7.45	0.00	0.17	0.17	-147.87	68
28	3	-1.34	3.99	0.00	0.17	0.17	-87.86	131
29	3	0.03	2.95	0.00	0.17	0.17	-74.81	174
30	3	-0.68	4.74	0.00	0.17	0.17	-86.25	143
31	3	-1.01	7.10	0.00	0.17	0.17	-80.01	86
32	3	-0.33	5.68	0.00	0.17	0.17	-88.54	145
33	3	0.68	5.11	0.00	0.17	0.17	-99.91	28
34	3	-0.00	7.84	0.00	0.17	0.17	-90.00	8
35	3	-0.34	4.44	0.00	0.17	0.17	-89.05	9
36	3	1.02	7.83	0.00	0.17	0.17	-94.98	16
37	3	0.02	6.73	0.00	0.17	0.17	-108.92	140
38	3	-0.66	1.27	0.00	0.17	0.17	-76.36	76
39	3	0.66	4.58	0.00	0.17	0.17	-94.15	238
40	3	-1.01	3.03	0.00	0.17	0.17	-83.52	61
41	3	0.67	6.41	0.00	0.17	0.17	-101.95	83
42	3	-0.00	0.19	0.00	0.17	0.17	-93.24	255
43	3	0.64	1.61	0.00	0.17	0.17	-120.52	137
44	3	-1.35	6.37	0.00	0.17	0.17	-88.33	123
45	3	0.02	0.99	0.00	0.17	0.17	-67.27	79
46	3	1.07	7.40	0.00	0.17	0.17	-110.43	51
47	3	-0.00	3.41	0.00	0.17	0.17	-110.30	19
48	3	1.36	2.05	0.00	0.17	0.17	-103.23	26
49	3	-0.68	6.43	0.00	0.17	0.17	-86.94	64
50	3	1.36	4.75	0.00	0.17	0.17	-100.39	42
1	4	0.55	0.58	0.00	0.17	0.17	-177.63	230
2	4	1.34	3.33	0.00	0.17	0.17	-90.04	78
3	4	1.00	6.79	0.00	0.17	0.17	-95.89	34
4	4	1.31	1.49	0.00	0.17	0.17	-136.78	161
5	4	-0.97	0.48	0.00	0.17	0.17	-89.13	254
6	4	-0.98	7.74	0.00	0.17	0.17	-115.41	57
7	4	-1.02	5.46	0.00	0.17	0.17	-83.20	4
