

#ID	FR	X	Y	Z	A	B	ANGLE	COLOR
1	0	0.81	2.40	0.00	0.17	0.17	-99.35	0
2	0	-1.91	1.38	0.00	0.17	0.17	-55.11	0
3	0	0.13	5.80	0.00	0.17	0.17	-90.00	0
4	0	1.83	8.86	0.00	0.17	0.17	-99.10	0
5	0	0.13	7.50	0.00	0.17	0.17	-90.00	0
6	0	0.81	8.18	0.00	0.17	0.17	-93.49	0
7	0	-0.55	4.78	0.00	0.17	0.17	-87.03	0
8	0	1.49	6.14	0.00	0.17	0.17	-99.85	0
9	0	-0.55	1.72	0.00	0.17	0.17	-83.71	0
10	0	0.47	4.78	0.00	0.17	0.17	-92.18	0
11	0	-0.21	0.70	0.00	0.17	0.17	-90.00	0
12	0	-1.57	3.42	0.00	0.17	0.17	-73.37	0
13	0	1.15	2.74	0.00	0.17	0.17	-103.53	0
14	0	-1.23	7.16	0.00	0.17	0.17	-83.15	0
15	0	0.13	1.38	0.00	0.17	0.17	-90.00	0
16	0	-0.21	5.46	0.00	0.17	0.17	-90.00	0
17	0	0.47	6.14	0.00	0.17	0.17	-91.76	0
18	0	0.13	5.12	0.00	0.17	0.17	-90.00	0
19	0	0.13	2.06	0.00	0.17	0.17	-90.00	0
20	0	-1.57	3.76	0.00	0.17	0.17	-74.50	0
21	0	0.81	1.38	0.00	0.17	0.17	-103.24	0
22	0	1.49	7.84	0.00	0.17	0.17	-97.98	0
23	0	1.83	1.38	0.00	0.17	0.17	-123.58	0
24	0	1.49	8.86	0.00	0.17	0.17	-97.17	0
25	0	1.83	0.70	0.00	0.17	0.17	-132.90	0
26	0	1.15	7.84	0.00	0.17	0.17	-95.81	0
27	0	0.81	1.72	0.00	0.17	0.17	-101.63	0
28	0	0.13	8.18	0.00	0.17	0.17	-90.00	0
29	0	-0.89	3.42	0.00	0.17	0.17	-81.76	0
30	0	-1.57	5.80	0.00	0.17	0.17	-79.01	0
31	0	1.49	7.50	0.00	0.17	0.17	-98.30	0
32	0	1.49	4.10	0.00	0.17	0.17	-103.67	0
33	0	-1.91	5.80	0.00	0.17	0.17	-76.28	0
34	0	0.81	8.52	0.00	0.17	0.17	-93.37	0
35	0	1.83	6.14	0.00	0.17	0.17	-102.48	0
36	0	-1.57	6.48	0.00	0.17	0.17	-79.99	0
37	0	0.47	0.70	0.00	0.17	0.17	-97.37	0
38	0	0.13	1.04	0.00	0.17	0.17	-90.00	0
39	0	1.15	6.14	0.00	0.17	0.17	-97.18	0
40	0	-1.91	6.14	0.00	0.17	0.17	-76.91	0
41	0	-1.57	6.82	0.00	0.17	0.17	-80.42	0
42	0	1.49	2.06	0.00	0.17	0.17	-112.06	0
43	0	-0.55	5.46	0.00	0.17	0.17	-87.34	0
44	0	1.15	2.40	0.00	0.17	0.17	-104.83	0
45	0	1.49	6.82	0.00	0.17	0.17	-99.01	0
46	0	-1.57	1.04	0.00	0.17	0.17	-57.09	0
47	0	0.47	8.86	0.00	0.17	0.17	-91.28	0
48	0	0.13	7.84	0.00	0.17	0.17	-90.00	0
49	0	-0.55	7.84	0.00	0.17	0.17	-88.06	0
50	0	0.47	7.16	0.00	0.17	0.17	-91.54	0
1	1	0.81	2.39	0.00	0.17	0.17	-99.35	64
2	1	-1.91	1.38	0.00	0.17	0.17	-55.11	26
3	1	0.13	5.80	0.00	0.17	0.17	-90.00	26
